pais_codigo,pais_nome,fase,recode,arquivo_origem,caminho_origem,linhas,colunas_selecionadas,colunas
ML,Mali,83,PR,MLPR83FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Mali\Moradores_PR\MLPR83DT\MLPR83FL.DTA,54419,40,hhid|hvidx|hv001|hv002|hv003|hv004|hv005|hv009|hv012|hv013|hv024|hv025|hv101|hv102|hv103|hv104|hv105|hv106|hv107|hv108|hv109|hv110|hv111|hv112|hv113|hv114|hv115|hv116|hv117|hv118|hv120|hv121|hv122|hv123|hv124|hv125|hv126|hv127|hv128|hv129
ML,Mali,83,KR,MLKR83FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Mali\Criancas_KR\MLKR83DT\MLKR83FL.DTA,9464,42,caseid|bidx|v001|v002|v003|v005|b0|b1|b2|b3|b4|b5|b6|b7|b8|b9|b10|b11|b12|m4|m5|m6|m7|m13|m14|m15|m17|m18|m19|m34|m35|m36|m38|m39a|h11|h13|h22|h31|h34|h39|h42|h43
ML,Mali,41,HW,MLHW41FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Mali\Antropometria_HW\MLHW41DT\MLHW41FL.DTA,12236,7,hwhhid|hwline|hwlevel|hc70|hc71|hc72|hc73
ML,Mali,53,CR,MLCR53FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Mali\Casais_CR\MLCR53DT\MLCR53FL.DTA,2665,19,caseid|v001|v002|v003|v005|v012|v024|v025|mv001|mv002|mv003|mv005|mv012|mv024|mv025|v106|v190|mv106|mv190
ML,Mali,53,MR,MLMR53FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Mali\Homens_MR\MLMR53DT\MLMR53FL.DTA,4207,12,mcaseid|mv001|mv002|mv003|mv005|mv012|mv024|mv025|mv106|mv190|mv201|mv212
ML,Mali,42,SQ,MLSQ42FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Mali\Servicos_Saude_SQ\MLSQ42DT\MLSQ42FL.DTA,388,40,level1id|saregion|sacercle|sacommun|sagrappe|saville|salatns|salatdeg|salatmin|salatmil|salonew|salondeg|salonmin|salonmil|saalt|sapoint|sajour|samois|saannee|sacode|salangue|sainter|sasec01_group_1|sasec01_group_2|sasec01_group_3|sasec01_group_4|sasec01_group_5|sasec01_group_6|sa101h|sa101m|sa101|sa102|sa103|sa104|sa105|sa106|sa107|sa108|sa108a|sa108b
ML,Mali,42,WI,MLwi42fl.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Mali\Riqueza_WI\MLWI42DT\MLwi42fl.dta,12331,3,whhid|wlthindf|wlthind5
MW,Malaui,81,IR,MWIR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Malaui\Saude_da_Mulher_IR\MWIR81DT\MWIR81FL.dta,21587,100,caseid|v001|v002|v003|v005|v006|v007|v008|v008a|v012|v013|v024|v025|v106|v190|v201|v212|v301|v302|v302a|v304_01|v304_02|v304_03|v304_04|v304_05|v304_06|v304_07|v304_08|v304_09|v304_10|v304_11|v304_12|v304_13|v304_14|v304_15|v304_16|v304_17|v304_18|v304_19|v304_20|v305_01|v305_02|v305_03|v305_04|v305_05|v305_06|v305_07|v305_08|v305_09|v305_10|v305_11|v305_12|v305_13|v305_14|v305_15|v305_16|v305_17|v305_18|v305_19|v305_20|v307_01|v307_02|v307_03|v307_04|v307_05|v307_06|v307_07|v307_08|v307_09|v307_10|v307_11|v307_12|v307_13|v307_14|v307_15|v307_16|v307_17|v307_18|v307_19|v307_20|v312|v313|m3a_1|m3b_1|m4_1|m5_1|m13_1|m14_1|m15_1|m17_1|m18_1|m19_1|m34_1|m35_1|m36_1|m38_1|m39_1|v445|v453|v457
MW,Malaui,81,BR,MWBR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Malaui\Nascimentos_BR\MWBR81DT\MWBR81FL.dta,52765,45,caseid|bidx|v001|v002|v003|v005|bord|b0|b1|b2|b3|b4|b5|b6|b7|b8|b9|b10|b11|b12|b13|b15|b16|b17|b18|b19|b20|b21|m3a|m3b|m4|m5|m6|m7|m13|m14|m15|m17|m18|m19|m34|m35|m36|m38|m39a
MW,Malaui,81,HR,MWHR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Malaui\Domicilios_HR\MWHR81DT\MWHR81FL.dta,23095,43,hhid|hv001|hv002|hv003|hv005|hv009|hv012|hv013|hv024|hv025|hv201|hv205|hv206|hv207|hv208|hv209|hv210|hv211|hv212|hv213|hv214|hv215|hv216|hv217|hv218|hv219|hv220|hv221|hv222|hv223|hv225|hv226|hv227|hv228|hv230a|hv232|hv234|hv235|hv236a|hv237|hv240|hv270|hv271
MW,Malaui,81,PR,MWPR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Malaui\Moradores_PR\MWPR81DT\MWPR81FL.dta,98549,40,hhid|hvidx|hv001|hv002|hv003|hv004|hv005|hv009|hv012|hv013|hv024|hv025|hv101|hv102|hv103|hv104|hv105|hv106|hv107|hv108|hv109|hv110|hv111|hv112|hv113|hv114|hv115|hv116|hv117|hv118|hv120|hv121|hv122|hv123|hv124|hv125|hv126|hv127|hv128|hv129
MW,Malaui,81,KR,MWKR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Malaui\Criancas_KR\MWKR81DT\MWKR81FL.dta,12312,54,caseid|bidx|v001|v002|v003|v005|bidxp|b0|b1|b2|b3|b4|b5|b6|b7|b8|b9|b10|b11|b12|m4|m5|m6|m7|m13|m14|m15|m17|m18|m19|m34|m35|m36|m38|m39a|h1|h2|h3|h4|h5|h6|h7|h8|h9|h10|h40|h11|h13|h22|h31|h34|h39|h42|h43
MW,Malaui,41,HW,MWHW41FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Malaui\Antropometria_HW\MWHW41DT\MWHW41FL.DTA,11157,7,hwhhid|hwline|hwlevel|hc70|hc71|hc72|hc73
MW,Malaui,81,CR,MWCR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Malaui\Casais_CR\MWCR81DT\MWCR81FL.dta,4086,19,caseid|v001|v002|v003|v005|v012|v024|v025|mv001|mv002|mv003|mv005|mv012|mv024|mv025|v106|v190|mv106|mv190
MW,Malaui,81,MR,MWMR81FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Malaui\Homens_MR\MWMR81DT\MWMR81FL.dta,8913,12,mcaseid|mv001|mv002|mv003|mv005|mv012|mv024|mv025|mv106|mv190|mv201|mv212
MW,Malaui,26,SQ,MWSQ26FL.DTA,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Malaui\Servicos_Saude_SQ\MWSQ26DT\MWSQ26FL.DTA,223,1,urbrur
MW,Malaui,42,WI,MWwi42fl.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Malaui\Riqueza_WI\MWWI42DT\MWwi42fl.dta,14213,3,whhid|wlthindf|wlthind5
MZ,Moçambique,82,IR,MZIR82FL.dta,D:\Repositórios\_dados_descartados_saude_mulher\completo\extraidos\Moçambique\Saude_da_Mulher_IR\MZIR82DT\MZIR82FL.dta,13183,100,caseid|v001|v002|v003|v005|v006|v007|v008|v008a|v012|v013|v024|v025|v106|v190|v201|v212|v301|v302|v302a|v304_01|v304_02|v304_03|v304_04|v304_05|v304_06|v304_07|v304_08|v304_09|v304_10|v304_11|v304_12|v304_13|v304_14|v304_15|v304_16|v304_17|v304_18|v304_19|v304_20|v305_01|v305_02|v305_03|v305_04|v305_05|v305_06|v305_07|v305_08|v305_09|v305_10|v305_11|v305_12|v305_13|v305_14|v305_15|v305_16|v305_17|v305_18|v305_19|v305_20|v307_01|v307_02|v307_03|v307_04|v307_05|v307_06|v307_07|v307_08|v307_09|v307_10|v307_11|v307_12|v307_13|v307_14|v307_15|v307_16|v307_17|v307_18|v307_19|v307_20|v312|v313|m3a_1|m3b_1|m4_1|m5_1|m13_1|m14_1|m15_1|m17_1|m18_1|m19_1|m34_1|m35_1|m36_1|m38_1|m39_1|v445|v453|v457
