country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Gana,GHIR82FL.DTA,GHIR82FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,82,1737,GHIR82DT.zip,557,
Gana,GHIR8CFL.DTA,GHIR8CFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,8C,5584,GHIR8CDT.zip,598,
Guiné,GNIR41FL.DTA,GNIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,3788,GNIR41DT.zip,154,
Guiné,gnir52fl.dta,GNIR52FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,52,3171,GNIR52DT.zip,249,
Guiné,GNIR62FL.DTA,GNIR62FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,62,4366,GNIR62DT.zip,391,
Guiné,GNIR71FL.DTA,GNIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,4756,GNIR71DT.zip,539,
Guiné,GNIR82FL.DTA,GNIR82FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,82,2719,GNIR82DT.zip,571,
Gâmbia,GMIR61FL.DTA,GMIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4384,GMIR61DT.zip,425,
Gâmbia,GMIR81FL.DTA,GMIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,5314,GMIR81DT.zip,555,
Lesoto,LSIR41FL.dta,LSIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,4473,LSIR41DT.zip,256,
Lesoto,LSIR61FL.DTA,LSIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4229,LSIR61DT.zip,317,
Lesoto,LSIR71FL.DTA,LSIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,3749,LSIR71DT.zip,462,
Lesoto,LSIR81FL.DTA,LSIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,6581,LSIR81DT.zip,572,
Libéria,LBIR01FL.DTA,LBIR01FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,01,1352,LBIR01DT.zip,7,
Libéria,LBIR51FL.DTA,LBIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,4105,LBIR51DT.zip,271,
Libéria,LBIR5AFL.DTA,LBIR5AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,5A,1719,LBIR5ADT.zip,330,
Libéria,LBIR61FL.DTA,LBIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,2416,LBIR61DT.zip,361,
Libéria,LBIR6AFL.DTA,LBIR6AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,6A,4006,LBIR6ADT.zip,435,
Libéria,LBIR71FL.DTA,LBIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,3965,LBIR71DT.zip,509,
Libéria,LBIR7AFL.DTA,LBIR7AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7A,5177,LBIR7ADT.zip,537,
Libéria,LBIR81FL.DTA,LBIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,3012,LBIR81DT.zip,573,
Madagascar,MDIR21FL.DTA,MDIR21FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,21,2347,MDIR21DT.zip,49,
Madagascar,MDIR31FL.DTA,MDIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,2875,MDIR31DT.zip,110,
Madagascar,MDIR42FL.DTA,MDIR42FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,42,4289,MDIR42DT.zip,207,
Madagascar,MDIR51FL.DTA,MDIR51FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,51,3997,MDIR51DT.zip,296,
Madagascar,MDIR61FL.DTA,MDIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,3570,MDIR61DT.zip,396,
Madagascar,MDIR6AFL.DTA,MDIR6AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,6A,3687,MDIR6ADT.zip,456,
Madagascar,MDIR71FL.DTA,MDIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,3532,MDIR71DT.zip,505,
Madagascar,MDIR81FL.DTA,MDIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,4688,MDIR81DT.zip,560,
Malaui,MWIR22FL.DTA,MWIR22FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,22,2366,MWIR22DT.zip,52,
Malaui,MWIR41FL.DTA,MWIR41FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,41,3896,MWIR41DT.zip,158,
Malaui,MWIR4EFL.DTA,MWIR4EFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,4E,4715,MWIR4EDT.zip,251,
Malaui,MWIR61FL.DTA,MWIR61FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,61,4271,MWIR61DT.zip,333,
Malaui,MWIR6AFL.DTA,MWIR6AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,6A,3963,MWIR6ADT.zip,432,
