variable,country_count,file_count,labels,themes
b2_15,37,198,Year of birth | b2$16 | year of birth,historia_reprodutiva | outros
b2_16,37,197,Year of birth | year of birth,historia_reprodutiva | outros
b2_17,37,197,Year of birth | b2$18 | year of birth,historia_reprodutiva | outros
b2_18,37,197,Year of birth | year of birth,historia_reprodutiva | outros
b2_19,37,197,"Year of birth | b2$20    ""year of birth"" | b2$20    'year of birth' | year of birth",historia_reprodutiva
b2_20,37,197,Year of birth | year of birth,historia_reprodutiva | outros
b3_01,37,198,Date of birth (CMC) | b3$02 | date of birth (cmc),historia_reprodutiva | outros
b3_02,37,198,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_03,37,198,Date of birth (CMC) | b3$04 | date of birth (cmc),historia_reprodutiva | outros
b3_04,37,198,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_05,37,198,Date of birth (CMC) | b3$06 | date of birth (cmc),historia_reprodutiva | outros
b3_06,37,198,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_07,37,198,Date of birth (CMC) | b3$08 | date of birth (cmc),historia_reprodutiva | outros
b3_08,37,198,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_09,37,198,Date of birth (CMC) | b3$10 | date of birth (cmc),historia_reprodutiva | outros
b3_10,37,198,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_11,37,198,Date of birth (CMC) | b3$12 | date of birth (cmc),historia_reprodutiva | outros
b3_12,37,198,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_13,37,198,Date of birth (CMC) | b3$14 | date of birth (cmc),historia_reprodutiva | outros
b3_14,37,198,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_15,37,198,Date of birth (CMC) | b3$16 | date of birth (cmc),historia_reprodutiva | outros
b3_16,37,197,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_17,37,197,Date of birth (CMC) | b3$18 | date of birth (cmc),historia_reprodutiva | outros
b3_18,37,197,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b3_19,37,197,"Date of birth (CMC) | b3$20    ""date of birth (cmc)"" | b3$20    'date of birth (cmc)' | date of birth (cmc)",historia_reprodutiva
b3_20,37,197,Date of birth (CMC) | date of birth (cmc),historia_reprodutiva | outros
b4_01,37,198,Sex of child | b4$02 | sex of child,historia_reprodutiva | outros
b4_02,37,198,Sex of child | sex of child,historia_reprodutiva | outros
b4_03,37,198,Sex of child | b4$04 | sex of child,historia_reprodutiva | outros
b4_04,37,198,Sex of child | sex of child,historia_reprodutiva | outros
b4_05,37,198,Sex of child | b4$06 | sex of child,historia_reprodutiva | outros
b4_06,37,198,Sex of child | sex of child,historia_reprodutiva | outros
b4_07,37,198,Sex of child | b4$08 | sex of child,historia_reprodutiva | outros
b4_08,37,198,Sex of child | sex of child,historia_reprodutiva | outros
b4_09,37,198,Sex of child | b4$10 | sex of child,historia_reprodutiva | outros
b4_10,37,198,Sex of child | sex of child,historia_reprodutiva | outros
b4_11,37,198,Sex of child | b4$12 | sex of child,historia_reprodutiva | outros
b4_12,37,198,Sex of child | sex of child,historia_reprodutiva | outros
b4_13,37,198,Sex of child | b4$14 | sex of child,historia_reprodutiva | outros
b4_14,37,198,Sex of child | sex of child,historia_reprodutiva | outros
b4_15,37,198,Sex of child | b4$16 | sex of child,historia_reprodutiva | outros
b4_16,37,197,Sex of child | sex of child,historia_reprodutiva | outros
b4_17,37,197,Sex of child | b4$18 | sex of child,historia_reprodutiva | outros
b4_18,37,197,Sex of child | sex of child,historia_reprodutiva | outros
b4_19,37,197,"Sex of child | b4$20    ""sex of child"" | b4$20    'sex of child' | sex of child",historia_reprodutiva
b4_20,37,197,Sex of child | sex of child,historia_reprodutiva | outros
b5_01,37,198,Child is alive | b5$02 | child is alive,historia_reprodutiva | outros
b5_02,37,198,Child is alive | child is alive,historia_reprodutiva | outros
b5_03,37,198,Child is alive | b5$04 | child is alive,historia_reprodutiva | outros
b5_04,37,198,Child is alive | child is alive,historia_reprodutiva | outros
b5_05,37,198,Child is alive | b5$06 | child is alive,historia_reprodutiva | outros
b5_06,37,198,Child is alive | child is alive,historia_reprodutiva | outros
b5_07,37,198,Child is alive | b5$08 | child is alive,historia_reprodutiva | outros
b5_08,37,198,Child is alive | child is alive,historia_reprodutiva | outros
b5_09,37,198,Child is alive | b5$10 | child is alive,historia_reprodutiva | outros
