normalized_label,country_count,variable_count,countries,variables,examples
source for female condoms other public,28,4,Angola | Benin | Burkina Faso | Burundi | Chade | Congo (Brazzaville) | Congo (República Democrática) | Eswatini (Suazilândia) | Etiópia | Gana | Guiné | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | São Tomé e Príncipe | Tanzânia | Zimbábue | Zâmbia,v762bd | v762be | v762bf | v762bi,[na] source for female condoms: other public | na - source for female condoms: other public | na-source for female condoms: other public | source for female condoms: other public | source for female condoms: other public - na | source for female condoms: other public {na}
source for female condoms other public health facility,1,1,Ruanda,v762bg,source for female condoms: other public health facility
source for female condoms other public sector,14,5,Benin | Comores | Costa do Marfim | Guiné | Gâmbia | Lesoto | Mali | Namíbia | Nigéria | Níger | Tanzânia | Togo | Zimbábue | Zâmbia,v762be | v762bf | v762bg | v762bh | v762bi,Source for female condoms: other public sector | na - source for female condoms: other public sector | source for female condoms: other public sector
source for female condoms other shop,1,1,Lesoto,v762bt,source for female condoms: (other) shop
source for female condoms outreach,1,1,Ruanda,v762be,source for female condoms: outreach
source for female condoms outreach mobile team,1,1,Senegal,v762bh,source for female condoms: outreach/mobile team
source for female condoms outreach point,1,1,Namíbia,v762bd,source for female condoms: outreach point
source for female condoms parents knowledge friends,1,1,Congo (República Democrática),v762bw,source for female condoms: parents/knowledge/friends
source for female condoms peer educators cs priv,1,1,Lesoto,v762bv,source for female condoms: peer educators [cs priv]
source for female condoms pharmacy,35,3,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v762bf | v762bk | v762bm,Source for female condoms: pharmacy | [na] source for female condoms: pharmacy | na - source for female condoms: pharmacy | na-source for female condoms: pharmacy | source for female condoms: pharmacy | source for female condoms: pharmacy - na | source for female condoms: pharmacy {na}
source for female condoms pharmacy of hospital health center,1,1,Chade,v762be,source for female condoms: pharmacy of hospital/ health center
source for female condoms polyclinic,2,2,Chade | Ruanda,v762bd | v762bm,source for female condoms: polyclinic
source for female condoms private cbd,1,1,Lesoto,v762bo,source for female condoms: (private) cbd
source for female condoms private cdba door to door,1,1,Malaui,v762bn,source for female condoms: private cdba/door to door
source for female condoms private chal health center,1,1,Lesoto,v762bi,source for female condoms: (private) chal health center
source for female condoms private chal health post,1,1,Lesoto,v762bk,source for female condoms: (private) chal health post
source for female condoms private chal hospital,1,1,Lesoto,v762bh,source for female condoms: (private) chal hospital
source for female condoms private clinic,2,1,Etiópia | Namíbia,v762bm,source for female condoms: private clinic
source for female condoms private clinic doctor,2,1,Chade | Ruanda,v762bl,source for female condoms: private clinic/doctor
source for female condoms private cs,20,3,Angola | Benin | Chade | Congo (Brazzaville) | Etiópia | Guiné | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Ruanda | Serra Leoa | São Tomé e Príncipe | Tanzânia | Zâmbia,v762bp | v762bq | v762br,[na] source for female condoms: private cs | na - source for female condoms: private cs | na-source for female condoms: private cs | source for female condoms: private cs | source for female condoms: private cs - na | source for female condoms: private cs {na}
source for female condoms private cs mission hospital cli,1,1,Zâmbia,v762bp,source for female condoms: private cs - mission hospital/cli
source for female condoms private dispensary,1,2,Tanzânia,v762bn | v762br,Source for female condoms: private dispensary | source for female condoms: private dispensary
source for female condoms private district hospital,1,1,Tanzânia,v762bp,source for female condoms: private district hospital
source for female condoms private doctor,35,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v762bl,NA - Source for female condoms: private doctor | [na] source for female condoms: private doctor | na - source for female condoms: private doctor | na-source for female condoms: na-private doctor | na-source for female condoms: private doctor | source for female condoms: private doctor | source for female condoms: private doctor - na | source for female condoms: private doctor {na}
source for female condoms private field worker,24,2,Angola | Benin | Burkina Faso | Chade | Congo (Brazzaville) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gana | Guiné | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Serra Leoa | São Tomé e Príncipe | Tanzânia | Zâmbia,v762bm | v762bn,[na] source for female condoms: private field worker | na - source for female condoms: private field worker | na-source for female condoms: private field worker | source for female condoms: private field worker | source for female condoms: private field worker - na | source for female condoms: private field worker {na}
source for female condoms private fieldworker,2,2,Congo (República Democrática) | Gâmbia,v762bm | v762bo,source for female condoms: private fieldworker
source for female condoms private health center,1,1,Tanzânia,v762bq,source for female condoms: private health center
source for female condoms private health centre,1,1,Tanzânia,v762bm,Source for female condoms: private health centre
source for female condoms private health centre mobile cli,1,1,Tanzânia,v762bm,source for female condoms: private health centre (mobile cli
source for female condoms private hosp clinic,25,1,Angola | Benin | Burkina Faso | Chade | Congo (Brazzaville) | Eswatini (Suazilândia) | Etiópia | Gana | Guiné | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Serra Leoa | São Tomé e Príncipe | Tanzânia | Zimbábue | Zâmbia,v762bj,"[na] source for female condoms: private hosp, clinic | na - source for female condoms: private hosp, clinic | na-source for female condoms: private hosp, clinic | source for female condoms: private hosp, clinic | source for female condoms: private hosp, clinic - na | source for female condoms: private hosp, clinic {na}"
source for female condoms private hospital,3,1,Chade | Etiópia | Namíbia,v762bj,source for female condoms: private hospital
source for female condoms private hospital clinic,31,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul,v762bj,na - source for female condoms: private hospital/clinic | na-source for female condoms: private hospital/clinic | source for female condoms: private hospital/clinic
source for female condoms private hospital clinic doctor,1,1,Malaui,v762bp,source for female condoms: private hospital/clinic/doctor
source for female condoms private lesotho planned parenthood,1,1,Lesoto,v762bf,source for female condoms: (private) lesotho planned parenthood
source for female condoms private mobile clinic,25,1,Angola | Benin | Burkina Faso | Chade | Congo (Brazzaville) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gana | Guiné | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Serra Leoa | São Tomé e Príncipe | Tanzânia | Zâmbia,v762bm,[na] source for female condoms: private mobile clinic | na - source for female condoms: private mobile clinic | na-source for female condoms: private mobile clinic | source for female condoms: private mobile clinic | source for female condoms: private mobile clinic - na | source for female condoms: private mobile clinic [na] | source for female condoms: private mobile clinic {na}
source for female condoms private other,1,1,Lesoto,v762bs,source for female condoms: (private) other
source for female condoms private outreach clinic,1,1,Zimbábue,v762bn,source for female condoms: private outreach clinic
source for female condoms private outreach worker,1,1,Serra Leoa,v762bn,source for female condoms: private outreach worker
source for female condoms private polyclinic,1,1,Ruanda,v762bj,source for female condoms: private polyclinic
source for female condoms private psi new start center,1,1,Lesoto,v762bg,source for female condoms: (private) psi/new start center
source for female condoms private red cross health center,1,1,Lesoto,v762bn,source for female condoms: (private) red cross health center
source for female condoms private specialised hospital,1,1,Tanzânia,v762bj,Source for female condoms: private specialised hospital
source for female condoms private support groups,1,1,Lesoto,v762bq,source for female condoms: (private) support groups
source for female condoms private village health worker,1,1,Lesoto,v762bp,source for female condoms: (private) village health worker
source for female condoms provincial district hospital,1,1,Ruanda,v762bb,source for female condoms: provincial / district hospital
source for female condoms public cbd worker,1,1,Tanzânia,v762bg,Source for female condoms: public CBD worker
source for female condoms public cbda door to door,1,1,Malaui,v762be,source for female condoms: public cbda/door to door
source for female condoms public community based agent fieldworker,1,1,Zâmbia,v762be,source for female condoms: public community based agent/fieldworker
source for female condoms public cs,22,3,Angola | Benin | Chade | Congo (Brazzaville) | Eswatini (Suazilândia) | Etiópia | Guiné | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Serra Leoa | São Tomé e Príncipe | Tanzânia | Zâmbia,v762bg | v762bh | v762bi,[na] source for female condoms: public cs | na - source for female condoms: na-public cs | na - source for female condoms: public cs | na-source for female condoms: public cs | source for female condoms: public cs | source for female condoms: public cs - na | source for female condoms: public cs [na] | source for female condoms: public cs {na}
source for female condoms public cs gov health post outreach,1,1,Malaui,v762bg,source for female condoms: public cs gov. health post/outreach
source for female condoms public cs govt health post,1,1,Zâmbia,v762bg,source for female condoms: public cs - govt health post
source for female condoms public cs hsa,1,1,Malaui,v762bh,source for female condoms: public cs hsa
source for female condoms public dispensary,1,1,Tanzânia,v762be,Source for female condoms: public dispensary
source for female condoms public district hospital,1,1,Tanzânia,v762bc,Source for female condoms: public district hospital
source for female condoms public family planning clinic,1,1,Lesoto,v762bd,source for female condoms: (public) family planning clinic
source for female condoms public field worker,25,2,Angola | Benin | Burkina Faso | Chade | Congo (Brazzaville) | Eswatini (Suazilândia) | Etiópia | Gana | Guiné | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Serra Leoa | São Tomé e Príncipe | Tanzânia | Zimbábue | Zâmbia,v762bd | v762be,[na] source for female condoms: public field worker | na - source for female condoms: public field worker | na-source for female condoms: public field worker | source for female condoms: public field worker | source for female condoms: public field worker - na | source for female condoms: public field worker {na}
source for female condoms public fieldworker,1,1,Gâmbia,v762bd,source for female condoms: public fieldworker
source for female condoms public govt health center,1,1,Lesoto,v762bb,source for female condoms: (public) govt. health center
source for female condoms public govt health post,1,1,Lesoto,v762bc,source for female condoms: (public) govt. health post
source for female condoms public health centre,1,1,Tanzânia,v762bd,Source for female condoms: public health centre
source for female condoms public mobile clinic,2,1,Malaui | Serra Leoa,v762bd,source for female condoms: public mobile clinic
source for female condoms public mobile hospital clinic,1,1,Zâmbia,v762bc,source for female condoms: public mobile hospital/clinic
source for female condoms public outreach worker,1,1,Serra Leoa,v762be,source for female condoms: public outreach worker
source for female condoms public referral spec hospital,1,1,Tanzânia,v762ba,Source for female condoms: public referral/spec. hospital
source for female condoms public regional hospital,1,1,Tanzânia,v762bb,Source for female condoms: public regional hospital
source for female condoms public toilet workplace see also s730ev s730ex,1,1,Zimbábue,v762bu,"source for female condoms: public toilet, workplace (see also s730ev,s730ex)"
source for female condoms public village health post worker,1,1,Tanzânia,v762bf,Source for female condoms: public village health post (worker)
source for female condoms referal hospital,1,1,Ruanda,v762ba,source for female condoms: referal hospital
source for female condoms reference health centre csref,1,1,Mali,v762bc,"source for female condoms: reference health centre (""csref"")"
source for female condoms regional hospital,1,1,Tanzânia,v762bf,source for female condoms: regional hospital
source for female condoms relatives friends,1,1,Senegal,v762bu,source for female condoms: relatives/friends
source for female condoms religious dispensary,2,2,Senegal | Tanzânia,v762bm | v762br,Source for female condoms: religious dispensary | source for female condoms: religious dispensary
source for female condoms religious district hospital,1,1,Tanzânia,v762bp,Source for female condoms: religious district hospital | source for female condoms: religious district hospital
source for female condoms religious health centre,1,1,Tanzânia,v762bq,Source for female condoms: religious health centre | source for female condoms: religious health centre
source for female condoms religious hospital,1,1,Benin,v762bm,source for female condoms: religious hospital
source for female condoms religious institution,7,3,Burkina Faso | Burundi | Chade | Costa do Marfim | Guiné | Níger | Togo,v762bs | v762bt | v762bu,source for female condoms: religious institution
source for female condoms religious referral hospital,1,1,Tanzânia,v762bo,source for female condoms: religious referral hospital
source for female condoms religious referral spec hospital,1,1,Tanzânia,v762bo,Source for female condoms: religious referral/spec. hospital
source for female condoms religious voluntary dispensary,1,1,Tanzânia,s645k,source for female condoms: religious/voluntary dispensary
source for female condoms religious voluntary district hospital,1,1,Tanzânia,s645i,source for female condoms: religious/voluntary district hospital
source for female condoms religious voluntary health center,1,1,Tanzânia,s645j,source for female condoms: religious/voluntary health center
source for female condoms religious voluntary referral spec hospital,1,1,Tanzânia,s645h,source for female condoms: religious/voluntary referral/spec. hospital
source for female condoms rescuer,1,1,Chade,v762bu,source for female condoms: rescuer
source for female condoms road kiosk,1,1,Níger,v762bm,source for female condoms: road kiosk
source for female condoms rural health centre,1,1,Zimbábue,v762bb,source for female condoms: rural health centre
source for female condoms school,2,2,Namíbia | Zâmbia,v762bu | v762bv,source for female condoms: school
source for female condoms service station church friend relative or street,1,1,Zimbábue,v762bw,"source for female condoms: service station, church, friend /relative, or street "
source for female condoms shop,31,3,Angola | Benin | Burkina Faso | Burundi | Chade | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | Ruanda | Senegal | Serra Leoa | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia,v762bs | v762bt | v762bv,[na] source for female condoms: shop | na - source for female condoms: shop | na-source for female condoms: shop | source for female condoms: shop | source for female condoms: shop - na | source for female condoms: shop {na}
source for female condoms shop bar hotel grocery,1,1,Etiópia,v762bt,source for female condoms: shop/bar/hotel/grocery
source for female condoms shop bar lodge restaurant,1,1,Quênia,v762bs,source for female condoms: shop/ bar/ lodge/ restaurant
source for female condoms shop bar market,1,1,Chade,v762bt,source for female condoms: shop/bar/market
source for female condoms shop kiosk,1,1,Tanzânia,v762bv,Source for female condoms: shop/kiosk
source for female condoms shop market,4,2,Benin | Comores | Congo (Brazzaville) | Gana,v762bs | v762bt,source for female condoms: shop/market
source for female condoms street seller,1,1,Chade,v762bv,source for female condoms: street seller
source for female condoms street seller pharmacy on the ground,1,1,Congo (Brazzaville),v762bs,source for female condoms: street seller / pharmacy on the ground
source for female condoms street vendor,1,1,Mali,v762bu,source for female condoms: street vendor
source for female condoms supermarket,1,1,Zimbábue,s653p,source for female condoms: supermarket
source for female condoms supermarket tuck shop,1,1,Zimbábue,v762bt,source for female condoms:supermarket / tuck shop
source for female condoms support group cs priv,1,1,Lesoto,v762bw,source for female condoms: support group [cs priv]
source for female condoms table holder,1,1,Congo (República Democrática),v762bv,source for female condoms: table holder
source for female condoms traditional birth attendant,1,1,Ruanda,v762bt,source for female condoms: traditional birth attendant
source for female condoms traditional healer,1,1,Ruanda,v762bt,source for female condoms: traditional healer
source for female condoms tuck shop,1,1,Zimbábue,s653q,source for female condoms: tuck shop
source for female condoms urban medical center,1,1,Comores,v762bd,source for female condoms: urban medical center
