filename,country_code,country_name,recode_code,recode_name,recode_description,category_folder,phase_version,format,surv_id,url,relative_path
RWHR70DT.zip,RW,Ruanda,HR,Domicílios (Household Recode),"Características do domicílio, saneamento básico, fontes de água, bens e bens duráveis.",Domicilios_HR,70,Stata (.dta),468,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWHR70DT.zip&Tp=1&Ctry_Code=RW&surv_id=468&dm=1&dmode=nm,Ruanda/Domicilios_HR/RWHR70DT.zip
RWHR7ADT.zip,RW,Ruanda,HR,Domicílios (Household Recode),"Características do domicílio, saneamento básico, fontes de água, bens e bens duráveis.",Domicilios_HR,7A,Stata (.dta),540,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWHR7ADT.zip&Tp=1&Ctry_Code=RW&surv_id=540&dm=1&dmode=nm,Ruanda/Domicilios_HR/RWHR7ADT.zip
RWHR81DT.zip,RW,Ruanda,HR,Domicílios (Household Recode),"Características do domicílio, saneamento básico, fontes de água, bens e bens duráveis.",Domicilios_HR,81,Stata (.dta),554,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWHR81DT.zip&Tp=1&Ctry_Code=RW&surv_id=554&dm=1&dmode=nm,Ruanda/Domicilios_HR/RWHR81DT.zip
RWHR8ADT.zip,RW,Ruanda,HR,Domicílios (Household Recode),"Características do domicílio, saneamento básico, fontes de água, bens e bens duráveis.",Domicilios_HR,8A,Stata (.dta),607,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWHR8ADT.zip&Tp=1&Ctry_Code=RW&surv_id=607&dm=1&dmode=nm,Ruanda/Domicilios_HR/RWHR8ADT.zip
RWHR91DT.zip,RW,Ruanda,HR,Domicílios (Household Recode),"Características do domicílio, saneamento básico, fontes de água, bens e bens duráveis.",Domicilios_HR,91,Stata (.dta),624,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWHR91DT.zip&Tp=1&Ctry_Code=RW&surv_id=624&dm=1&dmode=nm,Ruanda/Domicilios_HR/RWHR91DT.zip
RWHW21DT.zip,RW,Ruanda,HW,Antropometria (Height and Weight),"Medições de altura, peso e escores nutricionais de mães e crianças.",Antropometria_HW,21,Stata (.dta),43,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWHW21DT.zip&Tp=1&Ctry_Code=RW&surv_id=43&dm=1&dmode=nm,Ruanda/Antropometria_HW/RWHW21DT.zip
RWHW41DT.zip,RW,Ruanda,HW,Antropometria (Height and Weight),"Medições de altura, peso e escores nutricionais de mães e crianças.",Antropometria_HW,41,Stata (.dta),165,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWHW41DT.zip&Tp=1&Ctry_Code=RW&surv_id=165&dm=1&dmode=nm,Ruanda/Antropometria_HW/RWHW41DT.zip
RWHW52DT.zip,RW,Ruanda,HW,Antropometria (Height and Weight),"Medições de altura, peso e escores nutricionais de mães e crianças.",Antropometria_HW,52,Stata (.dta),252,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWHW52DT.zip&Tp=1&Ctry_Code=RW&surv_id=252&dm=1&dmode=nm,Ruanda/Antropometria_HW/RWHW52DT.zip
RWIQ6ADT.zip,RW,Ruanda,IQ,Questionário Individual (Individual Questionnaire),Questionários individuais específicos.,Questionario_Individual_IQ,6A,Stata (.dta),422,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIQ6ADT.zip&Tp=1&Ctry_Code=RW&surv_id=422&dm=1&dmode=nm,Ruanda/Questionario_Individual_IQ/RWIQ6ADT.zip
RWIR21DT.zip,RW,Ruanda,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,21,Stata (.dta),43,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIR21DT.zip&Tp=1&Ctry_Code=RW&surv_id=43&dm=1&dmode=nm,Ruanda/Saude_da_Mulher_IR/RWIR21DT.zip
RWIR41DT.zip,RW,Ruanda,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,41,Stata (.dta),165,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIR41DT.zip&Tp=1&Ctry_Code=RW&surv_id=165&dm=1&dmode=nm,Ruanda/Saude_da_Mulher_IR/RWIR41DT.zip
RWIR53DT.zip,RW,Ruanda,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,53,Stata (.dta),252,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIR53DT.zip&Tp=1&Ctry_Code=RW&surv_id=252&dm=1&dmode=nm,Ruanda/Saude_da_Mulher_IR/RWIR53DT.zip
RWIR5ADT.zip,RW,Ruanda,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,5A,Stata (.dta),323,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIR5ADT.zip&Tp=1&Ctry_Code=RW&surv_id=323&dm=1&dmode=nm,Ruanda/Saude_da_Mulher_IR/RWIR5ADT.zip
RWIR61DT.zip,RW,Ruanda,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,61,Stata (.dta),364,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIR61DT.zip&Tp=1&Ctry_Code=RW&surv_id=364&dm=1&dmode=nm,Ruanda/Saude_da_Mulher_IR/RWIR61DT.zip
RWIR6IDT.zip,RW,Ruanda,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,6I,Stata (.dta),449,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIR6IDT.zip&Tp=1&Ctry_Code=RW&surv_id=449&dm=1&dmode=nm,Ruanda/Saude_da_Mulher_IR/RWIR6IDT.zip
RWIR70DT.zip,RW,Ruanda,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,70,Stata (.dta),468,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIR70DT.zip&Tp=1&Ctry_Code=RW&surv_id=468&dm=1&dmode=nm,Ruanda/Saude_da_Mulher_IR/RWIR70DT.zip
RWIR7ADT.zip,RW,Ruanda,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,7A,Stata (.dta),540,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIR7ADT.zip&Tp=1&Ctry_Code=RW&surv_id=540&dm=1&dmode=nm,Ruanda/Saude_da_Mulher_IR/RWIR7ADT.zip
RWIR81DT.zip,RW,Ruanda,IR,Mulheres (Individual Recode),"Dados individuais de mulheres (15-49 anos). Inclui saúde reprodutiva, maternidade, pré-natal, etc. [BÔNUS SAÚDE DA MULHER]",Saude_da_Mulher_IR,81,Stata (.dta),554,https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=RWIR81DT.zip&Tp=1&Ctry_Code=RW&surv_id=554&dm=1&dmode=nm,Ruanda/Saude_da_Mulher_IR/RWIR81DT.zip
