normalized_label,country_count,variable_count,countries,variables,examples
dpt 3 month,38,35,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),h7m | h7m_1 | h7m_2 | h7m_3 | h7m_4 | h7m_5 | h7m_6 | s4d3m | s4d3m_1 | s4d3m_2 | s4d3m_3 | s4d3m_4 | s4d3m_5 | s4d3m_6 | sdpt3m | sdpt3m_1 | sdpt3m_2 | sdpt3m_3 | sdpt3m_4 | sdpt3m_5 | sdpt3m_6 | sm104d3 | sm104d3_1 | sm104d3_2 | sm104d3_3 | sm104d3_4 | sm104d3_5 | sm104d3_6 | sm1508d3 | sm1508d3_1 | sm1508d3_2 | sm1508d3_3 | sm1508d3_4 | sm1508d3_5 | sm1508d3_6,DPT 3 month | NA - DPT 3 month | dpt 3 month | dpt 3 month - na | na - dpt 3 month
dpt 3 year,38,35,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),h7y | h7y_1 | h7y_2 | h7y_3 | h7y_4 | h7y_5 | h7y_6 | s4d3y | s4d3y_1 | s4d3y_2 | s4d3y_3 | s4d3y_4 | s4d3y_5 | s4d3y_6 | sdpt3y | sdpt3y_1 | sdpt3y_2 | sdpt3y_3 | sdpt3y_4 | sdpt3y_5 | sdpt3y_6 | sy104d3 | sy104d3_1 | sy104d3_2 | sy104d3_3 | sy104d3_4 | sy104d3_5 | sy104d3_6 | sy1508d3 | sy1508d3_1 | sy1508d3_2 | sy1508d3_3 | sy1508d3_4 | sy1508d3_5 | sy1508d3_6,DPT 3 year | NA - DPT 3 year | dpt 3 year | dpt 3 year - na | na - dpt 3 year
duration of abstinence,38,14,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),m8 | m8_1 | m8_2 | m8_3 | m8_4 | m8_5 | m8_6 | s439 | s439_1 | s439_2 | s439_3 | s439_4 | s439_5 | s439_6,Duration of abstinence | NA - Duration of abstinence | duration of abstinence | duration of abstinence    - na | na - duration of abstinence
duration of amenorrhea,38,7,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),m6 | m6_1 | m6_2 | m6_3 | m6_4 | m6_5 | m6_6,Duration of amenorrhea | NA - Duration of amenorrhea | duration of amenorrhea | na - duration of amenorrhea
duration of breastfeeding,38,7,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),m4 | m4_1 | m4_2 | m4_3 | m4_4 | m4_5 | m4_6,Duration of breastfeeding | NA - Duration of breastfeeding | duration of breastfeeding | na - duration of breastfeeding
duration of current pregnancy,38,4,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),q227 | q228 | q239 | v214,Duration of current pregnancy | duration of current pregnancy | na - duration of current pregnancy
education in single years,38,119,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),hv108 | hv108_01 | hv108_02 | hv108_03 | hv108_04 | hv108_05 | hv108_06 | hv108_07 | hv108_08 | hv108_09 | hv108_10 | hv108_11 | hv108_12 | hv108_13 | hv108_14 | hv108_15 | hv108_16 | hv108_17 | hv108_18 | hv108_19 | hv108_20 | hv108_21 | hv108_22 | hv108_23 | hv108_24 | hv108_25 | hv108_26 | hv108_27 | hv108_28 | hv108_29 | hv108_30 | hv108_31 | hv108_32 | hv108_33 | hv108_34 | hv108_35 | hv108_36 | hv108_37 | hv108_38 | hv108_39 | hv108_40 | hv108_41 | hv108_42 | hv108_43 | hv108_44 | hv108_45 | hv108_46 | hv108_47 | hv108_48 | hv108_49 | hv108_50 | hv108_51 | hv108_52 | hv108_53 | hv108_54 | hv108_55 | hv108_56 | hv108_57 | hv108_58 | hv108_59 | hv108_60 | hv108_61 | hv108_62 | hv108_63 | hv108_64 | hv108_65 | hv108_66 | hv108_67 | hv108_68 | hv108_69 | hv108_70 | hv108_71 | hv108_72 | hv108_73 | hv108_74 | hv108_75 | hv108_76 | hv108_77 | hv108_78 | hv108_79 | hv108_80 | hv108_81 | hv108_82 | hv108_83 | hv108_84 | hv108_85 | hv108_86 | hv108_87 | hv108_88 | hv108_89 | hv108_90 | hv108_91 | hv108_92 | hv108_93 | hv108_94 | hv108_95 | hv128 | hv128_01 | hv128_02 | hv128_03 | hv128_04 | hv128_05 | hv128_06 | hv128_07 | hv128_08 | hv128_09 | hv128_10 | hv128_11 | hv128_12 | hv128_13 | hv128_14 | hv128_15 | hv128_16 | hv128_17 | hv128_18 | hv128_19 | hv128_20 | mv133 | v133,Education in single years | education in single years | education in single years  -na | education in single years - na | education in single years --na | na - education in single years
entries in birth history,38,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),v224,Entries in birth history | entries in birth history | na - entries in birth history
entries in health table,38,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),v418,Entries in health table | entries in health table | entries in health table    -na | na - entries in health table
entries in height weight table,38,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),v419,Entries in height/weight table | entries in height/weight table | na - entries in height/weight table
entries in maternity table,38,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),v417,Entries in maternity table | entries in maternity table | entries in maternity table -na | na - entries in maternity table
ethnicity,38,100,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),mv131 | q111 | q112 | q123 | rc110 | s114 | s118 | s119 | s121 | sh07a | sh07a_01 | sh07a_02 | sh07a_03 | sh07a_04 | sh07a_05 | sh07a_06 | sh07a_07 | sh07a_08 | sh07a_09 | sh07a_10 | sh07a_11 | sh07a_12 | sh07a_13 | sh07a_14 | sh07a_15 | sh07a_16 | sh07a_17 | sh07a_18 | sh07a_19 | sh07a_20 | sh07a_21 | sh07a_22 | sh07a_23 | sh07a_24 | sh07a_25 | sh07a_26 | sh07a_27 | sh07a_28 | sh07a_29 | sh07a_30 | sh07a_31 | sh07a_32 | sh07a_33 | sh07a_34 | sh07a_35 | sh07a_36 | sh07a_37 | sh07a_38 | sh07a_39 | sh07a_40 | sh07a_41 | sh07a_42 | sh07a_43 | sh07a_44 | sh07a_45 | sh07a_46 | sh07a_47 | sh07a_48 | sh09b | sh09b_01 | sh09b_02 | sh09b_03 | sh09b_04 | sh09b_05 | sh09b_06 | sh09b_07 | sh09b_08 | sh09b_09 | sh09b_10 | sh09b_11 | sh09b_12 | sh09b_13 | sh09b_14 | sh09b_15 | sh09b_16 | sh09b_17 | sh09b_18 | sh09b_19 | sh09b_20 | sh09b_21 | sh09b_22 | sh09b_23 | sh09b_24 | sh09b_25 | sh09b_26 | sh09b_27 | sh09b_28 | sh09b_29 | sh09b_30 | sh09b_31 | sh09b_32 | sh09b_33 | sh09b_34 | sh09b_35 | sh09b_36 | sm109 | sm114 | sm119 | sm130 | v131,Ethnicity | NA - Ethnicity | [na] ethnicity | ethnicity | ethnicity                   na | ethnicity                  -na | ethnicity                 - na | ethnicity                 - na!
ever had vaccination,38,7,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),h10 | h10_1 | h10_2 | h10_3 | h10_4 | h10_5 | h10_6,Ever had vaccination | NA - Ever had vaccination | ever had vaccination | ever had vaccination - na | na - ever had vaccination
ever use of any method,38,3,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),mv302 | shv302 | v302,Ever use of any method | NA - Ever use of any method | NA-Ever use of any method | ever use of any method | ever use of any method     -na | ever use of any method - na | ever use of any method {na} | na - ever use of any method
ever used method,38,132,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),mv305_01 | mv305_02 | mv305_03 | mv305_04 | mv305_05 | mv305_06 | mv305_07 | mv305_08 | mv305_09 | mv305_10 | mv305_11 | mv305_12 | mv305_13 | mv305_14 | mv305_15 | mv305_16 | mv305_17 | mv305_18 | mv305_19 | mv305_20 | q303_01 | q303_02 | q303_03 | q303_04 | q303_05 | q303_06 | q303_07 | q303_08 | q303_09 | q303_10 | q303_11 | q303_12 | q602_01 | q602_02 | q602_03 | q602_04 | q602_05 | q602_06 | q602_07 | q602_08 | q602_09 | q602_10 | q602_11 | q602_12 | q602_13 | q602_14 | s302_01 | s302_02 | s302_03 | s302_04 | s302_05 | s302_06 | s302_07 | s302_08 | s302_09 | s302_10 | s302_11 | s302_12 | s302_13 | sm203_01 | sm203_02 | sm203_03 | sm203_04 | sm203_05 | sm203_06 | sm203_07 | sm203_08 | sm203_09 | sm203_10 | sm203_11 | sm203_12 | sm203_13 | sm203_14 | sm203_15 | sm302_01 | sm302_02 | sm302_03 | sm302_04 | sm302_05 | sm302_06 | sm302_07 | sm302_08 | sm302_09 | sm302_10 | sm302_11 | sm302_12 | sm302_13 | smq20c01 | smq20c02 | smq20c03 | smq20c04 | smq20c05 | smq20c06 | smq20c07 | smq20c08 | smq20c09 | smq20c10 | smq20c11 | smq20c12 | smq20c13 | v305_01 | v305_02 | v305_03 | v305_04 | v305_05 | v305_06 | v305_07 | v305_08 | v305_09 | v305_10 | v305_11 | v305_12 | v305_13 | v305_14 | v305_15 | v305_16 | v305_17 | v305_18 | v305_19 | v305_20 | w303_01 | w303_02 | w303_03 | w303_04 | w303_05 | w303_06 | w303_07 | w303_08 | w303_09 | w303_10 | w303_11 | w303_12,Ever used method | NA - Ever used method | NA-Ever used method | ever used method | ever used method           -na | ever used method -na | ever used method {na} | na - ever used method
fertility preference,38,3,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),mv602 | shv605 | v602,Fertility preference | fertility preference | fertility preference       -na | fertility preference      - na | fertility preference {na} | na - fertility preference
gave child juice,38,8,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),m37c | m37c_1 | m37c_2 | m37c_3 | m37c_4 | m37c_5 | m37c_6 | v410,Gave child juice | NA - Gave child juice | [na] gave child juice | gave child juice | gave child juice           -na | gave child juice          - na | gave child juice {na} | na - gave child juice
gave child other liquid,38,15,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),m37l | m37l_1 | m37l_2 | m37l_3 | m37l_4 | m37l_5 | m37l_6 | s769 | s769_1 | s769_2 | s769_3 | s769_4 | s769_5 | s769_6 | v413,Gave child other liquid | NA - Gave child other liquid | gave child other liquid | gave child other liquid     na | gave child other liquid   - na | gave child other liquid {na} | na - gave child other liquid
gave child plain water,38,16,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),m37a | m37a_1 | m37a_2 | m37a_3 | m37a_4 | m37a_5 | m37a_6 | s492aa | s767 | s767_1 | s767_2 | s767_3 | s767_4 | s767_5 | s767_6 | v409,Gave child plain water | NA - Gave child plain water | gave child plain water | gave child plain water {na} | na - gave child plain water | na - na - gave child plain water
given oral rehydration,38,7,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),h13 | h13_1 | h13_2 | h13_3 | h13_4 | h13_5 | h13_6,Given oral rehydration | NA - Given oral rehydration | given oral rehydration | given oral rehydration     -na | na - given oral rehydration
given other treatment,38,7,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),h20 | h20_1 | h20_2 | h20_3 | h20_4 | h20_5 | h20_6,Given other treatment | NA - Given other treatment | given other treatment | given other treatment     - na | na - given other treatment
had diarrhea recently,38,7,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),h11 | h11_1 | h11_2 | h11_3 | h11_4 | h11_5 | h11_6,Had diarrhea recently | NA - Had diarrhea recently | had diarrhea recently | na - had diarrhea recently
has bicycle,38,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),hv210 | v123,Has bicycle | has bicycle | has bicycle                 na
has electricity,38,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),hv206 | v119,Has electricity | has electricity | has electricity             na | na- has electricity
has health card,38,23,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),h1 | h1_1 | h1_2 | h1_3 | h1_4 | h1_5 | h1_6 | s1508 | s1508_1 | s1508_2 | s1508_3 | s1508_4 | s1508_5 | s1508_6 | s304a | s323a | s323a_1 | s323a_2 | s323a_3 | s323a_4 | s323a_5 | s323a_6 | s498c,Has health card | NA - Has health card | has health card | has health card - na | na - has health card
has radio,38,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),hv207 | v120,Has radio | has radio | has radio                   na
has refrigerator,38,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),hv209 | v122,Has refrigerator | has refrigerator | has refrigerator            na | has refrigerator           -na | has refrigerator          - na
has television,38,2,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),hv208 | v121,Has television | has television | has television              na | has television            - na
heard of oral rehydration,38,1,Angola | Benin | Burkina Faso | Burundi | Camarões | Chade | Comores | Congo (Brazzaville) | Congo (República Democrática) | Costa do Marfim | Eswatini (Suazilândia) | Etiópia | Gabão | Gana | Guiné | Gâmbia | Lesoto | Libéria | Madagascar | Malaui | Mali | Moçambique | Namíbia | Nigéria | Níger | Quênia | República Centro-Africana | Ruanda | Senegal | Serra Leoa | Sudão | São Tomé e Príncipe | Tanzânia | Togo | Zimbábue | Zâmbia | África do Sul | África do Sul (Histórico/Outro),v416,Heard of oral rehydration | NA - Heard of oral rehydration | heard of oral rehydration | heard of oral rehydration  -na | heard of oral rehydration - na | na - heard of oral rehydration
