country,file,stem,recode,women_health_category,women_health_role,phase_version,variables,catalog_filename,survey_id,data_label
Burkina Faso,BFBR21FL.dta,BFBR21FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",21,682,BFBR21DT.zip,42,
Burkina Faso,BFBR31FL.dta,BFBR31FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",31,794,BFBR31DT.zip,116,
Burkina Faso,BFBR43FL.dta,BFBR43FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",43,992,BFBR43DT.zip,230,
Burkina Faso,BFBR62FL.DTA,BFBR62FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",62,1027,BFBR62DT.zip,329,
Burkina Faso,BFBR81FL.DTA,BFBR81FL,BR,gestacao_parto,"Nascimentos, gestações e histórico obstétrico",81,1138,BFBR81DT.zip,562,
Burkina Faso,BFWI21FL.DTA,BFWI21FL,WI,socioeconomico,Índice de riqueza e contexto socioeconômico,21,3,BFWI21DT.zip,42,
Burkina Faso,BFWI31FL.DTA,BFWI31FL,WI,socioeconomico,Índice de riqueza e contexto socioeconômico,31,3,BFWI31DT.zip,116,
Burkina Faso,BFIR21FL.DTA,BFIR21FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,21,2479,BFIR21DT.zip,42,
Burkina Faso,BFIR31FL.DTA,BFIR31FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,31,3023,BFIR31DT.zip,116,
Burkina Faso,BFIR43FL.dta,BFIR43FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,43,3951,BFIR43DT.zip,230,
Burkina Faso,BFIR62FL.DTA,BFIR62FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,62,4370,BFIR62DT.zip,329,
Burkina Faso,BFIR71FL.DTA,BFIR71FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,71,3094,BFIR71DT.zip,481,
Burkina Faso,BFIR7AFL.DTA,BFIR7AFL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,7A,1424,BFIR7ADT.zip,526,
Burkina Faso,BFIR81FL.DTA,BFIR81FL,IR,mulher_nucleo,Entrevista individual da mulher; fonte principal,81,5578,BFIR81DT.zip,562,
Burkina Faso,BFSQ22FL.DTA,BFSQ22FL,SQ,servicos_saude,Disponibilidade e infraestrutura de serviços,22,338,BFSQ22DT.zip,42,
Burundi,BUHW01FL.DTA,BUHW01FL,HW,antropometria,"Peso, altura, anemia e medidas corporais",01,7,BUHW01DT.zip,16,
Burundi,BUCR61FL.DTA,BUCR61FL,CR,casal_parceiro,Informações conjugais e do parceiro,61,2071,BUCR61DT.zip,346,
Burundi,BUCR71FL.DTA,BUCR71FL,CR,casal_parceiro,Informações conjugais e do parceiro,71,2681,BUCR71DT.zip,463,
Burundi,BUKR01FL.DTA,BUKR01FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",01,440,BUKR01DT.zip,16,
Burundi,BUKR61FL.DTA,BUKR61FL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",61,936,BUKR61DT.zip,346,
Burundi,BUKR6AFL.DTA,BUKR6AFL,KR,saude_infantil,"Saúde, nutrição e vacinação de crianças",6A,817,BUKR6ADT.zip,446,
