variable,country_count,file_count,labels,themes
b8_07,38,323,Current age of child | b8$08 | current age of child,historia_reprodutiva | outros
b8_08,38,323,Current age of child | current age of child,historia_reprodutiva | outros
b8_09,38,323,Current age of child | b8$10 | current age of child,historia_reprodutiva | outros
b8_10,38,323,Current age of child | current age of child,historia_reprodutiva | outros
b8_11,38,323,Current age of child | b8$12 | current age of child,historia_reprodutiva | outros
b8_12,38,323,Current age of child | current age of child,historia_reprodutiva | outros
b8_13,38,323,Current age of child | b8$14 | current age of child,historia_reprodutiva | outros
b8_14,38,323,Current age of child | current age of child,historia_reprodutiva | outros
b8_15,38,323,Current age of child | b8$16 | current age of child,historia_reprodutiva | outros
b8_16,38,321,Current age of child | current age of child,historia_reprodutiva | outros
b8_17,38,321,Current age of child | b8$18 | current age of child,historia_reprodutiva | outros
b8_18,38,321,Current age of child | current age of child,historia_reprodutiva | outros
b8_19,38,321,"Current age of child | b8$20    ""current age of child"" | b8$20    'current age of child' | current age of child",historia_reprodutiva
b8_20,38,321,Current age of child | current age of child,historia_reprodutiva | outros
b9,38,367,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva
b9_01,38,323,Child lives with whom | b9$02 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_02,38,323,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_03,38,323,Child lives with whom | b9$04 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_04,38,323,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_05,38,323,Child lives with whom | b9$06 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_06,38,323,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_07,38,323,Child lives with whom | b9$08 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_08,38,323,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_09,38,323,Child lives with whom | b9$10 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_10,38,323,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_11,38,323,Child lives with whom | b9$12 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_12,38,323,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_13,38,323,Child lives with whom | b9$14 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_14,38,323,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_15,38,323,Child lives with whom | b9$16 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_16,38,321,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_17,38,321,Child lives with whom | b9$18 | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_18,38,321,Child lives with whom | child lives with respondent | child lives with whom | who child lives with,historia_reprodutiva | outros
b9_19,38,321,"Child lives with whom | b9$20    ""child lives with respondent"" | b9$20    'child lives with respondent' | child lives with respondent | child lives with whom | who child lives with",historia_reprodutiva
